trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
HUX-LMN,09:30:00,09:30:00,HUX,1,,0,0,0.0
HUX-LMN,12:00:00,12:00:00,LNM,2,,0,0,0.0
HUX-ODX,09:00:00,09:00:00,HUX,1,,0,0,0.0
HUX-ODX,11:30:00,11:30:00,LNM,2,,0,0,0.0
HUX-ODX,13:30:00,13:30:00,ODX,3,,0,0,0.0
HUX-LPB,14:00:00,14:00:00,HUX,1,,0,0,0.0
HUX-LPB,16:30:00,16:30:00,LNM,2,,0,0,0.0
HUX-LPB,16:30:00,16:30:00,ODX,3,,0,0,0.0
HUX-LPB,21:30:00,21:30:00,LPB,5,,0,0,0.0
HUX-VIE,11:30:00,11:30:00,HUX,1,,0,0,0.0
HUX-VIE,14:00:00,14:00:00,LNM,2,,0,0,0.0
HUX-VIE,16:00:00,16:00:00,ODX,3,,0,0,0.0
HUX-VIE,19:00:00,19:00:00,LPB,5,,0,0,0.0
HUX-VIE,23:30:00,23:30:00,VIE,8,,0,0,0.0
HUX-VIE,21:00:00,21:00:00,VVG,7,,0,0,0.0
HUX-LMN-1,15:00:00,15:00:00,HUX,1,,0,0,0.0
HUX-LMN-1,17:30:00,17:30:00,LNM,2,,0,0,0.0
HUX-LPB-1,17:00:00,17:00:00,HUX,1,,0,0,0.0
HUX-LPB-1,19:30:00,19:30:00,LNM,2,,0,0,0.0
HUX-LPB-1,19:30:00,19:30:00,ODX,3,,0,0,0.0
HUX-LPB-1,24:30:00,24:30:00,LPB,5,,0,0,0.0
HUX-VIE-1,18:00:00,18:00:00,HUX,1,,0,0,0.0
HUX-VIE-1,20:30:00,20:30:00,LNM,2,,0,0,0.0
HUX-VIE-1,22:30:00,22:30:00,ODX,3,,0,0,0.0
HUX-VIE-1,25:30:00,25:30:00,LPB,5,,0,0,0.0
HUX-VIE-1,30:30:00,30:30:00,VIE,8,,0,0,0.0
HUX-VIE-1,28:30:00,28:30:00,VVG,7,,0,0,0.0
HUX-VVE,18:30:00,18:30:00,HUX,1,,0,0,0.0
HUX-VVE,21:00:00,21:00:00,LNM,2,,0,0,0.0
HUX-VVE,23:00:00,23:00:00,ODX,3,,0,0,0.0
HUX-VVE,26:00:00,26:00:00,LPB,5,,0,0,0.0
HUX-VVE,29:00:00,29:00:00,VVG,7,,0,0,0.0
HUX-SAY,00:30:00,00:30:00,HUX,1,,0,0,0.0
HUX-SAY,03:00:00,03:00:00,LNM,2,,0,0,0.0
HUX-SAY,05:00:00,05:00:00,ODX,3,,0,0,0.0
HUX-SAY,08:00:00,08:00:00,LPB,5,,0,0,0.0
HUX-SAY,09:00:00,09:00:00,SAY,6,,0,0,0.0
HUX-SAY,06:30:00,06:30:00,PKM,4,,0,0,0.0
HUX-VIE,17:30:00,17:30:00,PKM,4,,0,0,0.0
HUX-VIE-1,24:30:00,24:30:00,PKM,4,,0,0,0.0
HUX-VVE,25:00:00,25:00:00,PKM,4,,0,0,0.0
HUX-LPB,20:30:00,20:30:00,PKM,4,,0,0,0.0
HUX-LPB-1,23:30:00,23:30:00,PKM,4,,0,0,0.0
HUX-MGL,08:30:00,08:30:00,HUX,1,,0,0,0.0
HUX-MGL,13:00:00,13:00:00,LNM,2,,0,0,0.0
HUX-MGL,15:30:00,15:30:00,MGL,3,,0,0,0.0
HUX-JHN,08:00:00,08:00:00,HUX,1,,0,0,0.0
HUX-JHN,12:30:00,12:30:00,LNM,2,,0,0,0.0
HUX-JHN,15:00:00,15:00:00,MGL,3,,0,0,0.0
HUX-JHN,19:00:00,19:00:00,JHN,4,,0,0,0.0
HUX-KNM,10:30:00,10:30:00,HUX,1,,0,0,0.0
HUX-KNM,15:00:00,15:00:00,LNM,2,,0,0,0.0
HUX-KNM,17:30:00,17:30:00,MGL,3,,0,0,0.0
HUX-KNM,21:30:00,21:30:00,JHN,4,,0,0,0.0
HUX-KNM,28:30:00,28:30:00,KNM,5,,0,0,0.0
HUX-DBP,19:30:00,19:30:00,HUX,1,,0,0,0.0
HUX-DBP,23:30:00,23:30:00,LNM,2,,0,0,0.0
HUX-DBP,25:30:00,25:30:00,ODX,3,,0,0,0.0
HUX-DBP,27:30:00,27:30:00,MKH,4,,0,0,0.0
HUX-DBP,31:00:00,31:00:00,DBP,5,,0,0,0.0
