trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
HUX-LMN,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-ODX,HUX-ODX,daily,Oudomxay,Oudomxay,0,,,0
HUX-LPB,HUX-LPB,daily,Luang Prabang,Huay Xai - Luang Prabang,0,,,0
HUX-VIE,HUX-VIE,daily,Vientiane,Huay Xai - Vientiane,0,,,0
HUX-LMN-1,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LPB-1,HUX-LPB,daily,Luang Prabang,Huay Xai - Luang Prabang,0,,,0
HUX-LPB-2,HUX-LPB,daily,Luang Prabang,Huay Xai - Luang Prabang,0,,,0
HUX-LMN-2,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
ODX-HUX,ODX-HUX,daily,Oudomxay,Oudomxay,0,,,0
HUX-LMN-3,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-5,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-4,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-6,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-7,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-8,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
HUX-LMN-9,HUX-LMN,daily,Luang Namtha,Huay Xai to Luang Namtha,0,,,0
